Country_Code,Country,Year,EGDI_Value,EGDI_Rank,OSI_Value,TII_Value,HCI_Value,EPI_Value,EPI_Rank,E_GOV_Index,Difference
GBR,United Kingdom,2003,0.81403,5.0,0.77729,0.67481,0.99,1.0,1.0,0.8140333333333333,-3.3333333332441484e-06
GBR,United Kingdom,2004,0.88521,3.0,0.97297,0.69267,0.99,1.0,1.0,0.8852133333333333,-3.3333333332441484e-06
GBR,United Kingdom,2005,0.87773,4.0,0.99615,0.64705,0.99,1.0,1.0,0.8777333333333334,-3.3333333333551707e-06
GBR,United Kingdom,2008,0.7872,10.0,0.6923,0.70222,0.96994,0.43181,25.0,0.7881533333333334,-0.0009533333333333616
GBR,United Kingdom,2010,0.81466,4.0,0.7746,0.71637,0.95423,0.77142,4.0,0.8150666666666666,-0.00040666666666655527
GBR,United Kingdom,2012,0.89603,3.0,0.97385,0.81351,0.90074,0.9211,5.0,0.8960333333333333,-3.3333333333551707e-06
GBR,United Kingdom,2014,0.86948,8.0,0.89763,0.8534,0.8574,0.96078,4.0,0.8694766666666668,3.3333333332441484e-06
GBR,United Kingdom,2016,0.91928,1.0,1.0,0.81766,0.94018,1.0,1.0,0.91928,0.0
GBR,United Kingdom,2018,0.8999,4.0,0.9792,0.8004,0.92,0.9831,5.0,0.8998666666666666,3.3333333333440684e-05
GBR,United Kingdom,2020,0.9358,7.0,0.9588,0.9195,0.9292,0.9762,6.0,0.9358333333333334,-3.3333333333440684e-05
GBR,United Kingdom,2022,0.9138,11.0,0.8859,0.9186,0.9369,0.9545,6.0,0.9138000000000001,-1.1102230246251565e-16
GBR,United Kingdom,2024,0.95773,7.0,0.95349,0.97467,0.94498,0.9726,4.0,0.9577133333333334,1.666666666655381e-05
